编号,二级目录类型,三级目录类型,四级目录类型,关卡id,备注科目名称
id,sec_name,third_name,for_name,chapter_id,chapter_name
1,guide_mode,,,,
2,operation_mode,gas_power_gen,gas_power_gen_1,7,燃气发电机-检查燃料管路
3,operation_mode,gas_power_gen,gas_power_gen_2,8,燃气发电机-开启燃气管道阀门
4,operation_mode,gas_power_gen,gas_power_gen_3,9,燃气发电机-操作调压阀
5,operation_mode,gas_power_gen,gas_power_gen_4,1,燃气发电机-上电前检查操作
6,operation_mode,gas_power_gen,gas_power_gen_5,2,燃气发电机-直流屏上电操作
7,operation_mode,gas_power_gen,gas_power_gen_6,3,燃气发电机-MCC柜操作
8,operation_mode,gas_power_gen,gas_power_gen_7,4,燃气发电机-燃机及市电控制柜操作
9,operation_mode,gas_power_gen,gas_power_gen_8,5,燃气发电机-高压开关柜操作
10,operation_mode,gas_power_gen,gas_power_gen_9,6,燃气发电机-机组电气控制柜操作
11,operation_mode,gas_power_gen,gas_power_gen_10,10,燃气发电机-启动前的巡检
12,operation_mode,gas_power_gen,gas_power_gen_11,11,燃气发电机-机组本地启动操作准备工作
13,operation_mode,gas_power_gen,gas_power_gen_12,12,燃气发电机-机组远程启动操作准备工作
14,operation_mode,gas_power_gen,gas_power_gen_13,13,燃气发电机-机组本地启动
15,operation_mode,gas_power_gen,gas_power_gen_14,14,燃气发电机-机组远程启动
16,operation_mode,gas_power_gen,gas_power_gen_15,c1002_7|8|9,接通燃气操作
17,operation_mode,gas_power_gen,gas_power_gen_16,c1001_1|2|3|4|5|6,燃气发电机组上电操作
18,operation_mode,gas_power_gen,gas_power_gen_17,c1003_10|11|13,燃气发电机组本地启动
19,operation_mode,gas_power_gen,gas_power_gen_18,c1004_10|12|14,燃气发电机组远程启动
20,operation_mode,medium_voltage,medium_voltage_1,31,35kV高压配电房-合闸操作
21,operation_mode,medium_voltage,medium_voltage_2,29,10kV配电房-合闸操作
