编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
m_index,m_step,m_id,m_state,m_condition,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
1,1,1038,1|85,,巡检观察所有燃气机四周情况，观察燃气机有无漏油，周围环境干净整洁，开始检查，请检查1号发电机房顶的空滤使用率不超过百分之85,debug_s10_step_c_ 1,,
2,2,1039,70|85,,请检查1号发电机房顶的冷却管水位值在70到85之间,debug_s10_step_c_ 2,,
3,3,1040,2,,请检查1号发电机油尺油位在add 和 full之间,debug_s10_step_c_ 3,,
4,4,1138,1|85,,请检查2号发电机房顶的空滤使用率不超过百分之85,debug_s10_step_c_ 4,,
5,5,1139,70|85,,请检查2号发电机房顶的冷却管水位值在70到85之间,debug_s10_step_c_ 5,,
6,6,1140,2,,请检查2号发电机油尺油位在add 和 full之间,debug_s10_step_c_ 6,,
7,7,1238,1|85,,请检查3号发电机房顶的空滤使用率不超过百分之85,debug_s10_step_c_ 7,,
8,8,1239,70|85,,请检查3号发电机房顶的冷却管水位值在70到85之间,debug_s10_step_c_ 8,,
9,9,1240,2,,请检查3号发电机油尺油位在add 和 full之间,debug_s10_step_c_ 9,,
